"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","National public radio","Yes","In between","Rarely","Don't know / No opinion","Support","Strongly oppose","Strongly oppose","Strongly oppose",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","Right direction","Sometimes","Republicans","Strongly support","Support","Strongly support","Strongly support","Somewhat","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","Right direction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Newspapers","Yes","In between","Never","Republicans","Support","Oppose","Oppose","Oppose",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","In between","Rarely","Democrats","Strongly oppose","Support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","National public radio","No","In between","Sometimes","They're equally committed","Undecided","Support","Support","Oppose","Not at all","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local radio","Yes","In between","Never","Republicans","Strongly support","Strongly support","Strongly support","Strongly support","A great deal","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Word of mouth","Yes","In between","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","No","Wrong track","Rarely","Democrats","Undecided","Support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","Wrong track","Don't know / No opinion","Don't know / No opinion","Strongly support","Undecided","Support","Strongly support","Not at all","Don't know / No opinion","No impact","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","Wrong track","Sometimes","Neither is committed","Undecided","Support","Undecided","Support","A great deal","Yes","No impact","No","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","National public radio","No","Right direction","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Do not have access to news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","Yes","Wrong track","Rarely","Democrats","Strongly support","Support","Strongly support","Strongly support","Not at all","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","Yes","In between","Never","Democrats","Oppose","Strongly support",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","No","Wrong track","Never","Neither is committed","Strongly support","Support","Strongly oppose",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","No","Wrong track","Never","Neither is committed","Strongly support","Support","Support","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","Wrong track","Never","Don't know / No opinion","Strongly support","Strongly support","Strongly support","Strongly support","Not sure","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Do not read / watch / listen to the news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Word of mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Newspapers","No","In between","Rarely","Democrats","Strongly support","Strongly oppose","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local radio","Yes","Wrong track","Rarely","Democrats","Support","Strongly support","Undecided","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Newspapers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","Wrong track","Rarely","Don't know / No opinion","Strongly support","Strongly support","Strongly support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Cable news","No","Wrong track","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Do not have access to news","Yes","Wrong track","Rarely","Neither is committed","Support","Undecided","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly support","Support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","In between","Rarely","Democrats","Undecided","Strongly support","Strongly oppose","Support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","In between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly support","Strongly support","Undecided","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Cable news","No","In between","Very often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","Right direction","Rarely","Neither is committed","Undecided","Strongly support","Support","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Undecided","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","National public radio","Yes","In between","Rarely","Don't know / No opinion","Support","Strongly support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support","A great deal","Yes","No impact","No","0","0","0","0","0","0","0","0","1","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","In between","Sometimes","Republicans","Oppose","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","No opinion","Rarely","Democrats","Undecided","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","No","In between","Rarely","Democrats","Strongly support","Support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","National public radio","No","In between","Rarely","Don't know / No opinion","Strongly oppose","Strongly support","Oppose","Support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","1","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","In between","Never","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","No","In between","Don't know / No opinion","Republicans","Undecided","Strongly oppose","Support","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","No","In between","Never","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","In between","Sometimes","Democrats","Oppose","Strongly support","Oppose","Strongly support","Somewhat","Don't know / No opinion","Decreased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","In between","Rarely","Don't know / No opinion","Strongly support","Oppose","Undecided","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","No","Wrong track","Rarely","Neither is committed","Strongly support","Support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","In between","Rarely","Neither is committed","Strongly support","Undecided","Support","Strongly support","Somewhat","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","Wrong track","Rarely","Neither is committed",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Cable news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","No","Right direction","Sometimes","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support",NA,"Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","Yes","Wrong track",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Newspapers","Yes","No opinion","Rarely","Republicans","Strongly oppose","Strongly support","Oppose","Support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","Right direction","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","Wrong track","Don't know / No opinion","Democrats","Strongly support","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","Wrong track","Never","Neither is committed","Strongly support","Strongly support","Strongly support","Support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","No","In between","Sometimes","Democrats",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local radio","No","No opinion","Rarely","Don't know / No opinion","Oppose",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","No","In between","Sometimes","Republicans","Oppose","Oppose","Strongly oppose","Strongly support","Somewhat","Don't know / No opinion",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","No opinion","Don't know / No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","No","Right direction","Never","Republicans","Strongly support","Strongly support","Strongly support","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","No","No opinion","Always",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Cable news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","National public radio","No","Wrong track","Rarely","Democrats","Support","Oppose","Strongly support","Strongly support","Somewhat","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","Right direction","Sometimes","Neither is committed","Strongly oppose","Strongly support",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","No","Right direction","Sometimes","Democrats","Support","Support","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Do not read / watch / listen to the news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","No","Right direction","Don't know / No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Rarely","Local TV news","No","Wrong track","Never","Neither is committed",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Never","Local TV news","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Occasionally","Local TV news","No","Right direction","Rarely","Don't know / No opinion","Strongly support","Undecided","Strongly support","Strongly support","A great deal","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","No","In between","Rarely","Don't know / No opinion","Strongly support","Strongly support","Strongly oppose","Support","Not at all","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","Yes","In between","Rarely","Neither is committed","Undecided","Strongly support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","1","1",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Frequently","Local TV news","Yes","Right direction","Always","Republicans","Support","Strongly support","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"AR",NA,"Very Frequently","Local TV news","No","Wrong track","Sometimes","They're equally committed","Undecided","Support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
